logement_id,quartier,superficie_m2,annee_construction,nb_occupants,type_chauffage,revenu_median_quartier,consommation_kwh
L001,Montcalm,62,1988,1,Electricite,64000,11800
L002,Limoilou,74,1975,2,Electricite,52000,14300
L003,Sainte-Foy,91,2006,3,Electricite,71000,16150
L004,Vanier,58,1968,2,Mazout,47000,15600
L005,Charlesbourg,113,1992,4,Electricite,59000,20550
L006,Beauport,105,1980,3,Gaz,56000,18800
L007,Sillery,130,2012,4,Electricite,82000,21400
L008,Saint-Roch,46,1948,1,Electricite,45000,11250
L009,Cap-Rouge,124,2004,5,Gaz,76000,22600
L010,Neufchatel,88,1985,3,Electricite,57000,17100
L011,Maizerets,67,1971,2,Electricite,49000,13950
L012,Sainte-Foy,98,2018,2,Electricite,71000,15000
L013,Limoilou,55,1959,1,Gaz,52000,12500
L014,Charlesbourg,116,1999,4,Gaz,59000,20200
L015,Vanier,72,1962,3,Mazout,47000,18400
L016,Montcalm,84,2001,2,Electricite,64000,14600
L017,Beauport,96,1978,4,Electricite,56000,19050
L018,Saint-Roch,50,1935,1,Mazout,45000,13700
L019,Sillery,142,2015,3,Electricite,82000,21950
L020,Neufchatel,79,1990,2,Gaz,57000,15150
L021,Cap-Rouge,118,2009,4,Electricite,76000,19850
L022,Maizerets,63,1965,2,Gaz,49000,14800
L023,Montcalm,70,1997,1,Electricite,64000,12100
L024,Beauport,109,1987,5,Electricite,56000,21650
L025,Sainte-Foy,102,2011,3,Gaz,71000,17600
L026,Limoilou,69,1974,2,Mazout,52000,16100
L027,Charlesbourg,121,2003,4,Electricite,59000,20400
L028,Saint-Roch,44,1942,1,Electricite,45000,10800
L029,Sillery,136,2020,4,Electricite,82000,20750
L030,Vanier,81,1969,3,Gaz,47000,17700
L031,Cap-Rouge,128,2016,5,Electricite,76000,22100
L032,Maizerets,60,1955,2,Mazout,49000,15850
